LAP,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST,Race
31,117.513,1,0,HARD,2,FALSE,2,38.753,40.571,38.189,117.513,4,FALSE,Miami 
32,,1,0,HARD,2,FALSE,3,59.211,58.821,38.608,156.64,41,FALSE,Miami 
33,91.157,1,0,HARD,2,FALSE,4,30.834,34.635,25.688,91.157,1,FALSE,Miami 
34,91.289,1,0,HARD,2,FALSE,5,30.653,34.896,25.74,91.289,1,FALSE,Miami 
35,91.391,1,0,HARD,2,FALSE,6,30.786,34.791,25.814,91.39099999999999,1,FALSE,Miami 
36,91.133,1,0,HARD,2,FALSE,7,30.61,34.764,25.759,91.133,1,FALSE,Miami 
37,91.074,1,0,HARD,2,FALSE,8,30.519,34.744,25.811,91.07400000000001,1,FALSE,Miami 
38,91.134,1,0,HARD,2,FALSE,9,30.649,34.812,25.673,91.134,1,FALSE,Miami 
39,91.192,1,0,HARD,2,FALSE,10,30.787,34.738,25.667,91.19200000000001,1,FALSE,Miami 
40,91.222,1,0,HARD,2,FALSE,11,30.678,34.83,25.714,91.222,1,FALSE,Miami 
41,91.059,1,0,HARD,2,FALSE,12,30.482,34.862,25.715,91.059,1,FALSE,Miami 
42,91.34,1,0,HARD,2,FALSE,13,30.737,34.865,25.738,91.34,1,FALSE,Miami 
43,91.066,1,0,HARD,2,FALSE,14,30.53,34.797,25.739,91.066,1,FALSE,Miami 
44,91.18,1,0,HARD,2,FALSE,15,30.563,34.92,25.697,91.18,1,FALSE,Miami 
45,91.068,1,0,HARD,2,FALSE,16,30.453,34.88,25.735,91.068,1,FALSE,Miami 
46,91.352,1,0,HARD,2,FALSE,17,30.499,35.205,25.648,91.35199999999999,1,FALSE,Miami 
47,91.423,1,0,HARD,2,FALSE,18,30.556,35.123,25.744,91.423,1,FALSE,Miami 
48,91.135,1,0,HARD,2,FALSE,19,30.529,34.897,25.709,91.135,1,FALSE,Miami 
49,91.177,1,0,HARD,2,FALSE,20,30.427,35.025,25.725,91.17699999999999,1,FALSE,Miami 
50,91.227,1,0,HARD,2,FALSE,21,30.338,35.099,25.79,91.227,1,FALSE,Miami 
51,91.08,1,0,HARD,2,FALSE,22,30.328,35.008,25.744,91.08,1,FALSE,Miami 
52,91.244,1,0,HARD,2,FALSE,23,30.413,35.142,25.689,91.244,1,FALSE,Miami 
53,91.251,1,0,HARD,2,FALSE,24,30.309,35.186,25.756,91.251,1,FALSE,Miami 
54,91.276,1,0,HARD,2,FALSE,25,30.402,35.135,25.739,91.27600000000001,1,FALSE,Miami 
55,90.98,1,0,HARD,2,FALSE,26,30.413,34.898,25.669,90.98,1,TRUE,Miami 
56,91.04,1,0,HARD,2,FALSE,27,30.452,34.938,25.65,91.03999999999999,1,FALSE,Miami 
57,91.575,1,0,HARD,2,FALSE,28,30.59,35.034,25.951,91.57499999999999,1,FALSE,Miami 
